ImageId,EncodedPixels
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,45103 11 45358 13 45613 14 45868 15 46124 15 46379 16 46635 16 46892 14 47149 11 47405 10
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50024 6 50277 11 50532 13 50787 15 51042 16 51297 18 51553 18 51809 18 52064 18 52320 18 52575 18 52832 17 53088 17 53345 15 53601 14 53859 10 54116 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,10891 8 11146 9 11400 12 11655 13 11911 14 12166 14 12421 15 12677 14 12933 14 13189 14 13445 13 13701 12 13957 12 14213 10 14471 6 14728 4
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,30878 2 31132 5 31375 7 31387 7 31629 10 31642 9 31883 24 32138 25 32393 26 32648 27 32903 26 33159 25 33415 21 33671 20 33927 19 34183 18 34439 17 34695 16 34951 15 35208 13 35466 8 35723 6
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,50841 6 51095 9 51349 12 51605 12 51860 13 52115 14 52370 14 52626 13 52881 14 53137 14 53392 14 53648 13 53904 12 54160 11 54417 9 54673 8
0114f484a16c152baa2d82fdd43740880a762c93f436c8988ac461c5c9dbe7d5,38563 6 38818 8 39072 11 39327 12 39582 13 39837 14 40093 14 40349 14 40605 14 40861 13 41117 12 41373 12 41629 12 41886 10 42144 6 42401 4
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,48269 5 48788 7 49306 9 49825 11 50344 13 50362 6 50863 27 51382 28 51901 29 52420 31 52939 32 53458 32 53977 32 54496 33 55015 33 55534 33 56053 34 56572 35 57091 35 57610 35 58129 36 58648 36 59167 36 59686 36 60205 36 60724 36 61243 36 61762 36 62281 36 62800 36 63319 35 63838 35 64357 34 64876 34 65395 34 65914 34 66433 35 66952 36 67471 36 67990 37 68510 37 69029 38 69548 39 70067 39 70586 40 71105 42 71625 41 72144 42 72663 43 73182 44 73701 45 74220 46 74739 54 75258 57 75777 59 76296 60 76815 62 77334 63 77853 63 78372 63 78891 64 79410 64 79929 64 80448 65 80967 65 81486 65 82006 64 82525 65 83044 65 83563 65 84083 64 84602 64 85121 64 85640 64 86159 64 86678 64 87197 64 87716 64 88235 64 88755 62 89274 61 89793 61 90313 60 90833 59 91353 59 91873 59 92394 57 92913 58 93433 59 93953 58 94472 59 94992 59 95511 61 96031 61 96550 62 97070 62 97589 63 98108 63 98628 62 99147 63 99667 63 100186 64 100706 64 101225 65 101744 66 102264 65 102783 65 103302 67 103822 68 104342 67 104861 67 105381 67 105901 67 106421 66 106941 66 107461 66 107983 64 108504 62 109025 61 109545 61 110066 61 110587 60 111106 61 111627 61 112146 64 112667 62 113187 61 113706 63 114226 62 114745 63 115265 62 115785 62 116305 62 116824 62 117344 61 117864 61 118384 61 118904 60 119423 60 119943 60 120463 59 120983 59 121502 59 122022 59 122542 59 123061 60 123581 59 124100 61 124620 61 125141 60 125661 60 125732 8 126181 60 126247 15 126701 81 127221 81 127741 81 128261 80 128780 81 129300 81 129819 81 130340 23 130372 46 130904 31
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118335 4 118853 6 119372 7 119890 8 120409 9 120928 9 121447 9 121966 10 122485 11 123004 11 123523 11 124042 12 124561 12 125080 12 125599 12 126118 12 126637 12 127156 12 127675 12 128194 12 128713 12 129233 10 129753 7
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,24415 10 24931 16 25448 20 25965 23 26483 24 27001 26 27519 28 28037 29 28555 30 29073 31 29592 31 30110 31 30629 31 31148 31 31666 32 32185 31 32704 31 33223 31 33743 29 34262 29 34781 28 35301 26 35820 25 36339 24 36859 22 37378 20 37899 16 38419 13 38940 8
0999dab07b11bc85fb8464fc36c947fbd8b5d6ec49817361cb780659ca805eac,118363 9 118881 12 119399 14 119916 16 120434 18 120953 19 121472 19 121991 20 122510 20 123029 20 123548 20 124067 20 124586 20 125104 21 125623 21 126142 21 126661 21 127180 21 127699 21 128218 21 128738 20 129257 19 129776 19 130296 16 130818 10
